from,to
39585367,3345406263
39585367,109588474
39585367,142383345
39585367,2244403236
39585367,77764733
39585367,1711175880
39585367,54990588
39585367,61636488
39585367,378259736
39585367,1536791610
39585367,822215679726100480
39585367,2571454915
39585367,2776797432
39585367,3035470797
39585367,1670482230
39585367,216030975
39585367,226204422
39585367,402312888
39585367,979494746
39585367,479120093
39585367,234918972
39585367,59700472
39585367,193140815
39585367,108402878
39585367,110914578
39585367,82763111
39585367,621407061
39585367,1416391302
39585367,1925128021
39585367,2675123234
39585367,1668703620
39585367,182193790
39585367,210834887
39585367,1344920426
39585367,2884533627
39585367,860810719
39585367,503242173
39585367,34974358
39585367,217211892
39585367,49279876
39585367,2291816414
39585367,46433753
39585367,1148628416
39585367,889418808
39585367,879455294
39585367,1713190693
39585367,35306978
39585367,637054903
39585367,98708611
39585367,197264205
39585367,32459743
39585367,3355281
39585367,78919048
39585367,112818048
39585367,121857082
39585367,198911411
39585367,1598687438
39585367,329801968
39585367,541068225
39585367,320268880
39585367,17516149
39585367,2500345264
39585367,512254915
39585367,185732924
39585367,1544005236
39585367,104170368
39585367,2216606948
39585367,168667707
39585367,1225840568
39585367,2244358500
39585367,86138712
39585367,47433923
39585367,1578580969
39585367,19272796
39585367,248795646
39585367,54781907
39585367,274121823
39585367,1499526728
39585367,1122997712
39585367,502135911
39585367,370696063
39585367,293709920
39585367,958435057
39585367,60903348
39585367,1528117488
39585367,317540239
39585367,861534354
39585367,873894241
39585367,151595062
39585367,157799302
39585367,365017572
39585367,252835084
39585367,80349449
39585367,19426551
39585367,34104616
39585367,94141566
39585367,632991157
39585367,96888699
39585367,297550628
39585367,190006868
39585367,632975143
39585367,19167465
39585367,937063609
39585367,29716003
39585367,5943942
39585367,378128047
39585367,12931202
39585367,92576336
39585367,193028483
39585367,732977268
39585367,321792211
39585367,550402752
39585367,245039644
39585367,29450962
39585367,41814169
39585367,200176600
39585367,567360618
39585367,222953824
39585367,5502502
39585367,33388399
39585367,184543773
39585367,399416858
39585367,11605382
39585367,16245822
39585367,18622869
39585367,9207632
39585367,263943202
39585367,54996514
39585367,104561488
39585367,239962876
39585367,59860452
39585367,300480096
39585367,19514014
39585367,414105447
39585367,22428054
39585367,412382791
39585367,303924073
39585367,16536844
39585367,171547343
39585367,274617832
39585367,227855273
39585367,116730000
39585367,15946645
39585367,32520240
39585367,112775879
39585367,32882837
39585367,37710752
39585367,44155527
39585367,240362110
39585367,130885802
39585367,243291022
39585367,39413265
39585367,14874480
39585367,240319278
39585367,317784968
39585367,44156044
39585367,28140707
39585367,65166294
39585367,19559951
39585367,18721684
39585367,84675685
39585367,173170847
39585367,27879454
39585367,36771809
39585367,10772102
39585367,92554120
39585367,13623532
39585367,15353955
39585367,216845260
39585367,7717612
39585367,198608259
39585367,23595586
39585367,150334831
39585367,93673775
39585367,52186701
39585367,55458134
39585367,217471383
39585367,55612830
39585367,281545406
39585367,136330011
39585367,818910970567344128
39585367,325830217
39585367,177593483
39585367,97218207
39585367,218536635
39585367,107225267
39585367,55354281
39585367,82689705
39585367,16311483
39585367,73190286
39585367,62927392
39585367,14199378
39585367,1051171
39585367,759251
39585367,242448573
39585367,46553651
39585367,60308942
39585367,300429596
39585367,20437286
39585367,246493616
39585367,14589696
39585367,95984800
39585367,14437914
39585367,47985159
39585367,27147528
39585367,98015030
39585367,209154676
39585367,164676213
39585367,89787365
39585367,13783772
39585367,58839469
39585367,14602259
39585367,95431448
39585367,9130702
39585367,794808
39585367,233364902
39585367,40953367
39585367,216478332
39585367,14278568
39585367,236921052
39585367,17015011
39585367,70706313
39585367,14615871
39585367,146569971
39585367,73181712
39585367,21764343
39585367,14074515
39585367,90737324
39585367,9624742
39585367,48715988
39585367,33998183
39585367,84351228
39585367,34197952
39585367,19546529
39585367,1652541
39585367,19616718
39585367,783214
39585367,25661626
39585367,15147042
39585367,621563
39585367,4898091
39585367,16129920
39585367,11388132
39585367,26548315
39585367,17967925
39585367,48025961
39585367,132291445
39585367,44783853
39585367,115485051
39585367,135617797
39585367,113420831
39585367,818927131883356161
39585367,22934047
39585367,39507411
39585367,16264003
39585367,52838996
39585367,108656502
39585367,109106244
39585367,14606079
39585367,111037335
39585367,50393960
39585367,117821354
39585367,56772461
39585367,19445183
39585367,17899109
39585367,119099333
39585367,12456402
39585367,59578500
39585367,101896529
39585367,78943325
39585367,14761795
39585367,38459769
39585367,23967554
39585367,822215673812119553
39585367,30313925
39585367,63502461
39585367,67358777
39585367,95996694
39585367,49410168
39585367,12133382
39585367,14985228
39585367,34713362
39585367,19046875
39585367,68768975
39585367,71048920
39585367,17631078
39585367,24752484
39585367,17045060
39585367,11049952
39585367,6857072
39585367,15585350
39585367,15996963
39585367,40267916
39585367,24296208
39585367,87011595
39585367,22814630
39585367,29285832
39585367,16895951
39585367,18778855
39585367,42651647
39585367,22803482
39585367,6519522
39585367,7015112
39585367,15006628
39585367,15087011
39585367,17194573
39585367,26480859
39585367,22642788
39585367,18804081
39585367,66375473
39585367,77089721
39585367,74188655
